id,label,community,degree,closness_centrality,harmonic_closness_centrality,betweeness_centrality,pageranks,clustering_coefficient,num_of_triangles,eigenvector_centrality
28,Fauchelevent,4,4,0.402116402,0.438596491,0.026491228,0.011638746,0.333333333,2,0.156741158
31,Simplice,2,4,0.417582418,0.453947368,0.008640295,0.009073918,0.666666667,4,0.188234165
54,LtGillenormand,6,4,0.365384615,0.405701754,0,0.008713206,1,6,0.148428398
2,MlleBaptistine,1,3,0.413043478,0.445175439,0,0.010279594,1,3,0.111886071
3,MmeMagloire,1,3,0.413043478,0.445175439,0,0.010279594,1,3,0.111886071
39,Pontmercy,6,3,0.37254902,0.408991228,0.006925439,0.007367673,0.333333333,1,0.129904217
42,Anzelma,7,3,0.351851852,0.38377193,0,0.006313225,1,3,0.136822367
43,Woman2,6,3,0.402116402,0.434210526,0,0.006837111,1,3,0.181604616
72,Toussaint,1,3,0.402116402,0.434210526,0,0.006837111,1,3,0.181604616
12,Marguerite,1,2,0.413043478,0.440789474,0,0.005260578,1,1,0.124888143
30,Perpetue,2,2,0.317991632,0.349561404,0,0.005407488,1,1,0.054573126
33,Woman1,1,2,0.395833333,0.423245614,0,0.00524446,1,1,0.144878665
44,MotherInnocent,4,2,0.397905759,0.425438596,0,0.006202568,1,1,0.1017344
47,MmeBurgon,5,2,0.343891403,0.377192982,0.026315789,0.007804947,0,0,0.083171003
50,Magnon,6,2,0.334801762,0.363377193,2.17E-04,0.005271094,0,0,0.061563426
52,MmePontmercy,6,2,0.315352697,0.340350877,3.51E-04,0.006009911,0,0,0.032844593
56,BaronessT,6,2,0.351851852,0.379385965,0,0.005146167,1,1,0.090493426
73,Child1,8,2,0.342342342,0.375,0,0.005790662,1,1,0.089623922
74,Child2,8,2,0.342342342,0.375,0,0.005790662,1,1,0.089623922
1,Napoleon,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
4,CountessDeLo,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
5,Geborand,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
6,Champtercier,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
7,Cravatte,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
8,Count,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
9,OldMan,0,1,0.301587302,0.324342105,0,0.005584293,0,0,0.013644881
10,Labarre,1,1,0.393782383,0.416666667,0,0.003729325,0,0,0.087364171
13,MmeDeR,1,1,0.393782383,0.416666667,0,0.003729325,0,0,0.087364171
14,Isabeau,1,1,0.393782383,0.416666667,0,0.003729325,0,0,0.087364171
15,Gervais,1,1,0.393782383,0.416666667,0,0.003729325,0,0,0.087364171
32,Scaufflaire,1,1,0.393782383,0.416666667,0,0.003729325,0,0,0.087364171
40,Boulatruelle,7,1,0.342342342,0.362938596,0,0.003431552,0,0,0.057195933
45,Gribier,4,1,0.287878788,0.304605263,0,0.004421295,0,0,0.014370229
46,Jondrette,5,1,0.256756757,0.274342105,0,0.005265074,0,0,0.007685164
53,MlleVaubois,6,1,0.307692308,0.326096491,0,0.003922439,0,0,0.021209022
67,MotherPlutarch,8,1,0.284644195,0.312061404,0,0.003298282,0,0,0.046647528
